Ordem	Plot	Epoca 	plot_name	Acession_name	bloco	plant_number	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	NM	NP
48	10	1	BGM-0593.1.1.3	BGM-0593	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	10	1	BGM-0593.1.1.4	BGM-0593	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	10	1	BGM-0593.1.1.5	BGM-0593	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	11	1	BRS-Caipira.1.1.1	BRS-Caipira	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	11	1	BRS-Caipira.1.1.2	BRS-Caipira	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	11	1	BRS-Caipira.1.1.3	BRS-Caipira	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	11	1	BRS-Caipira.1.1.4	BRS-Caipira	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.09	24
55	11	1	BRS-Caipira.1.1.5	BRS-Caipira	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	12	1	BGM-0945.1.1.1	BGM-0945	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	12	1	BGM-0945.1.1.2	BGM-0945	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0.14	54
58	12	1	BGM-0945.1.1.3	BGM-0945	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.05	22
59	12	1	BGM-0945.1.1.4	BGM-0945	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	12	1	BGM-0945.1.1.5	BGM-0945	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	40
61	13	1	BGM-1128.1.1.1	BGM-1128	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.23	82
62	13	1	BGM-1128.1.1.2	BGM-1128	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0.23	74
63	13	1	BGM-1128.1.1.3	BGM-1128	1	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0.41	156
64	13	1	BGM-1128.1.1.4	BGM-1128	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0.18	72
65	13	1	BGM-1128.1.1.5	BGM-1128	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.18	46
66	14	1	BRS-PotiBranca.1.1.1	BRS-PotiBranca	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	14	1	BRS-PotiBranca.1.1.2	BRS-PotiBranca	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	14	1	BRS-PotiBranca.1.1.3	BRS-PotiBranca	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.05	4
69	14	1	BRS-PotiBranca.1.1.4	BRS-PotiBranca	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	14	1	BRS-PotiBranca.1.1.5	BRS-PotiBranca	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	15	1	Salangor.1.1.1	Salangor	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	15	1	Salangor.1.1.2	Salangor	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	15	1	Salangor.1.1.3	Salangor	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	15	1	Salangor.1.1.4	Salangor	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	15	1	Salangor.1.1.5	Salangor	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	16	1	BRS-Mulatinha.1.1.1	BRS-Mulatinha	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.14	8
77	16	1	BRS-Mulatinha.1.1.2	BRS-Mulatinha	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0.18	10
78	16	1	BRS-Mulatinha.1.1.3	BRS-Mulatinha	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	16	1	BRS-Mulatinha.1.1.4	BRS-Mulatinha	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	16	1	BRS-Mulatinha.1.1.5	BRS-Mulatinha	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	17	1	BRSCS-01.1.1.1	BRSCS-01	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0.23	30
82	17	1	BRSCS-01.1.1.2	BRSCS-01	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0.14	26
83	17	1	BRSCS-01.1.1.3	BRSCS-01	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0.14	26
84	17	1	BRSCS-01.1.1.4	BRSCS-01	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0.18	28
85	17	1	BRSCS-01.1.1.5	BRSCS-01	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.09	22
86	18	1	Eucalipto.1.1.1	Eucalipto	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.14	8
87	18	1	Eucalipto.1.1.2	Eucalipto	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	18	1	Eucalipto.1.1.3	Eucalipto	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0.23	18
89	18	1	Eucalipto.1.1.4	Eucalipto	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	18	1	Eucalipto.1.1.5	Eucalipto	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.09	4
91	19	1	BRS-Kiriris.1.1.1	BRS-Kiriris	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
92	19	1	BRS-Kiriris.1.1.2	BRS-Kiriris	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	19	1	BRS-Kiriris.1.1.3	BRS-Kiriris	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	19	1	BRS-Kiriris.1.1.4	BRS-Kiriris	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	3	0	0	0	0.41	120
95	19	1	BRS-Kiriris.1.1.5	BRS-Kiriris	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.05	4
96	20	1	BRS-Dourada.1.1.1	BRS-Dourada	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	3	0	0.36	70
97	20	1	BRS-Dourada.1.1.2	BRS-Dourada	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0.14	26
98	20	1	BRS-Dourada.1.1.3	BRS-Dourada	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0.32	68
99	20	1	BRS-Dourada.1.1.4	BRS-Dourada	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0.14	36
100	20	1	BRS-Dourada.1.1.5	BRS-Dourada	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	21	1	BRS-Formosa.1.1.1	BRS-Formosa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.14	12
102	21	1	BRS-Formosa.1.1.2	BRS-Formosa	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.14	12
103	21	1	BRS-Formosa.1.1.3	BRS-Formosa	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	21	1	BRS-Formosa.1.1.4	BRS-Formosa	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.09	12
105	21	1	BRS-Formosa.1.1.5	BRS-Formosa	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
106	22	1	BRS-GemadeOvo.1.1.1	BRS-GemadeOvo	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
107	22	1	BRS-GemadeOvo.1.1.2	BRS-GemadeOvo	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	3	3	0.5	80
108	22	1	BRS-GemadeOvo.1.1.3	BRS-GemadeOvo	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0.14	36
109	22	1	BRS-GemadeOvo.1.1.4	BRS-GemadeOvo	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0.23	34
110	22	1	BRS-GemadeOvo.1.1.5	BRS-GemadeOvo	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0.18	36
111	23	1	Correntao.1.1.1	Correntao	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.05	2
112	23	1	Correntao.1.1.2	Correntao	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.14	12
113	23	1	Correntao.1.1.3	Correntao	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.14	24
114	23	1	Correntao.1.1.4	Correntao	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.05	2
115	23	1	Correntao.1.1.5	Correntao	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	24	1	BRS-Verdinha.1.1.1	BRS-Verdinha	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	24	1	BRS-Verdinha.1.1.2	BRS-Verdinha	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	24	1	BRS-Verdinha.1.1.3	BRS-Verdinha	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	24	1	BRS-Verdinha.1.1.4	BRS-Verdinha	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.14	12
120	24	1	BRS-Verdinha.1.1.5	BRS-Verdinha	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	25	1	BRS-NovoHorizonte.1.1.1	BRS-NovoHorizonte	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.14	8
122	25	1	BRS-NovoHorizonte.1.1.2	BRS-NovoHorizonte	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.05	2
123	25	1	BRS-NovoHorizonte.1.1.3	BRS-NovoHorizonte	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	25	1	BRS-NovoHorizonte.1.1.4	BRS-NovoHorizonte	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0.18	14
125	25	1	BRS-NovoHorizonte.1.1.5	BRS-NovoHorizonte	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	26	1	Corrente.1.1.1	Corrente	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0.27	36
127	26	1	Corrente.1.1.2	Corrente	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.05	4
128	26	1	Corrente.1.1.3	Corrente	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0.27	28
129	26	1	Corrente.1.1.4	Corrente	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	3	0.41	72
130	26	1	Corrente.1.1.5	Corrente	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0.23	22
131	27	1	VassouraPreta.1.1.1	VassouraPreta	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0.27	30
132	27	1	VassouraPreta.1.1.2	VassouraPreta	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	0.36	34
133	27	1	VassouraPreta.1.1.3	VassouraPreta	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	27	1	VassouraPreta.1.1.4	VassouraPreta	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.09	10
135	27	1	VassouraPreta.1.1.5	VassouraPreta	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	28	1	NegaMaluca.1.1.1	NegaMaluca	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	28	1	NegaMaluca.1.1.2	NegaMaluca	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.09	22
138	28	1	NegaMaluca.1.1.3	NegaMaluca	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	28	1	NegaMaluca.1.1.4	NegaMaluca	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	28	1	NegaMaluca.1.1.5	NegaMaluca	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
141	29	1	BRS-Tapioqueira.1.1.1	BRS-Tapioqueira	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	2	0.41	64
142	29	1	BRS-Tapioqueira.1.1.2	BRS-Tapioqueira	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	8
143	29	1	BRS-Tapioqueira.1.1.3	BRS-Tapioqueira	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	3	0	0.36	74
144	29	1	BRS-Tapioqueira.1.1.4	BRS-Tapioqueira	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	3	0	0.41	94
145	29	1	BRS-Tapioqueira.1.1.5	BRS-Tapioqueira	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	30	1	BGM-1722.1.1.1	BGM-1722	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	0.32	48
147	30	1	BGM-1722.1.1.2	BGM-1722	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	1	0.32	50
148	30	1	BGM-1722.1.1.3	BGM-1722	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	3	0.36	84
149	30	1	BGM-1722.1.1.4	BGM-1722	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	30	1	BGM-1722.1.1.5	BGM-1722	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	31	1	Cigana.1.1.1	Cigana	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	31	1	Cigana.1.1.2	Cigana	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.09	8
153	31	1	Cigana.1.1.3	Cigana	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	31	1	Cigana.1.1.4	Cigana	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.14	6
155	31	1	Cigana.1.1.5	Cigana	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.09	12
156	32	1	BGM-0935.1.1.1	BGM-0935	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	2	0.41	176
157	32	1	BGM-0935.1.1.2	BGM-0935	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0.32	144
158	32	1	BGM-0935.1.1.3	BGM-0935	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	32	1	BGM-0935.1.1.4	BGM-0935	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.05	26
160	32	1	BGM-0935.1.1.5	BGM-0935	1	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0.27	126
161	33	1	BGM-1118.1.1.1	BGM-1118	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0.18	52
